Play,Genre,Year,Playwright,Act & Scene,Character - Speaker,Gender ,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6 ,Topic 7
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,"Unnaturally she first abused my heart,",nature,deception,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,"My wrath was flaming,",emotions,fire,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,There is my jealousy flown.,emotions,animals,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,I have killed my jealousy.,violence,emotions,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,More than hell ?T had been if you had struck me ere she [wife] fell.,quantities,religion,violence,time,matrimony,death,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,I had left her [wife] to your lust; the thought is bitterness.,privation,matrimony,sexuality,mental faculty & state,feelings,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,So laugh away this breath.,derision,breathing,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",lapyrus ,Male,"as rich In subjects? hearts and voices, ",economics,politics,anatomy,sounds,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",king,Male,"I am so borne betwixt the violent streams Of joy and passion, I forget my state.",labor,spatial,violence,nature,emotions,mental faculty & state,character traits & nature 
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",king,Male,We are scarce warm in our good fortune yet,temperature,mystical,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",king,Male,"O let me light upon that constant breast, And kiss thee till my soul melt on thy lips.",movement,character traits & nature,anatomy,affection,religion,consumption,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",king,Male,"all your ill is lost In your late new-born goodness,",character traits & nature,privation,time,life's cycle,ethics,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",king,Male,"No storm of fate so fierce but time destroys, ",nature,mystical,character traits & nature,time,destruction,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",king,Male,And [time] beats back misery with a peal of joys.,time,violence,spatial,suffering,music,emotions,
,,,,,,,,,,,,,,
