Play,Genre,Year,Playwright,Act and Scene,Character - Speaker,Gender ,Fragment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"My staine I thus [with death] wipe off,",cleaning,death,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"crowne my innocence, With your best thoughts, ",politics,judiciary,mental faculty & state,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,We are the same in heart we seeme in show.,anatomy,appearance,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"turne your funerall teares to fire and indignation, ",transformation,death,anatomy,fire,resistance,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"redeeme Our misspent time, ",economics,time,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"and ouer take our sloath With hostile expedition, ",hunting,character traits & nature,violence,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"This bloody knife, on which her chast blood flower, ",weapons,anatomy,character traits & nature,nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,eyes yet drown'd in teares,anatomy,violence,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"that horrid obiect [corpse], Shall kindle them with a most iust reuenge.",death,fire,judiciary,violence,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"that Monster, Tullia the Queene, ",deformities,politics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,expell This viperous broode from Rome,politics,animals,familial,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,the people Will gladly imbrace our fortunes,politics,feelings,affection,mystical,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Turne all your teares with ours, to wrath and rage,",transformation,anatomy,emotions,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,The hearts of all the Tarquins [rulers] shall weep blood,anatomy,politics,emotions,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Disclose her innocent woundes,discovering,judiciary,injuries,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Tirant haue we dogd thy stepes, ",politics,animals,movement,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Frighting thy frighted feare with horrid steele.,emotions,weapons,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"To shelter pride, lust, rape, and tiranny, ",accomodation,character traits & nature,sexuality,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,Oh Deuil! Sextus [prince] ,religion,politics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,Her chast blood still cries for vengeance to the Etheriall deities,character traits & nature,anatomy,sounds,violence,religion,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,stayning thy bloud with Treason.,cleaing,anatomy,politics,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,the powerfull hand of Rome Graspes his imperiall sword,anatomy,politics,adhesion,weapons,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"when I kissed My Mother earth it plainely did foretell, My noble vertues should thy sin exceed,",affection,familial,nature,mystical,character traits & nature,religion,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"the blood of Seruius [former king] fall, as heauy as a huge mountaine on your Tyrant heads, orewhelming all your glory.",anatomy,politics,destruction,weight,nature,recognition,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"fate, shall al be swalowd in this hostile hate.",mystical,food,violence,emotions,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Oh Romulus, thou that fiirst reard yon walles, in thy soft bosome Is hangd the nest in which the Tarquins [rulers] build, in the branches ",historical,architecture ,anatomy,accomodations,politics,nature,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"of thy [Romulus] lofty spires, Tarquin [king] shal pearch, […], His high built airy shall be drownd in blood,",historical,spatial,architecture,politics,animals,violence,anatomy
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,My sword shall prooue thou nere wast mad till now.,weapons,judiciary,time,mental faculty & state,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Thou Iouiall hand hould vp thy scepter high And let not iustice be oprest with pride,",religion,anatomy,spatial,politics,resistance,judiciary,character traits & nature
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Graspt in the purple hands of death and ruine,incarcertaion,colors,anatomy,death,destruction,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"Ile grow, And roote my foote as deepe as to the center, before I leaue this passage.",agriculture,anatomy,spatial,privation,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"menace death, the raging streames of Tiber are at thy backe to swallow thee.",violence,death,nature,spatial,food,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,in vs The vniuersall arme of potent Rome Takes his last leaue of thee in this embrace.,anatomy,politics,privation,affection,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"The man that enters here Must make his passage through Horatius brest,",spatial,violence,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"with this target do I buckle Rome,",mental faculty & state,clothes,politics,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"[soldiers] cowards, slaues, and vassals what not enter?",military,character traits & nature,social status,spatial,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,The arched bridge shall sinke vpon his piles And in his fall lift vp thy renown to heauen,architecture,destruction,military,spatial,recognition,religion,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,[to the soldiers] Degenerate slaues,military,mental faculty & state,social status,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"Thy strength is vertue, ",character traits & nature,ethics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,theirs [strength] are idle boastes.,character traits & nature,language,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"Fame, with thy golden wings, renowne my crest,",myth,economics,recognition,heraldry ,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,Tiber take me on thy siluer brest.,nature,devotion,colors,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,his spirits soares too hie To be choakt in with the base element Of water,religion,physical activities,spatial,violence,nature,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,Horatius fame Hath chekt our armies with a generall shame;,recognition,hindrance,military,emotions,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,"tortured, With plagues more diuillish then the plague of hel.",violence,medicine,religion,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,"[hand] behold thy errour, Thus I will punish, I will giue thee freely Vnto the fire, nor will I weare a limbe,",anatomy,sensations,mental faculty & state,judiciary,fire,clothes,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,When some strange fate thy fortunes wil deuoure.,mental faculty & state,mystical,social status,food,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,We would not lift a hand against that nation that breedes such noble spirits.,violence,anatomy,politics,reproduction,character traits & nature,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"let the innoce?t bloud Of Rape staind Lucrece crowne with death and horror The heads of all the Tarquins [rulers],",character traits & nature,anatomy,sexuality,cleaning,politics,death,emotions
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,be our shock As terrible as are the meeting clowdes That breake in thunder,violence,emotions,spatial,nautre,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,"our lofty plumes vnflagd with bloud, ",character traits & nature,animals,consumption,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,pleasure wantons in the aire,feelings,joviality,nature,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,arrowes thick as atoms hung about his eares.,weapons ,speed,nature,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,that sword that late did drinke the consuls bloud,weapons,food,anatomy,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"A winged Iennet, mount his back and fly,",animals,equestrian,danger,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,Had I the heart to treade vpon the bulke Of my dead father,anatomy,violence,death,familial,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,ore my caitiffe head those meteors waue.,spatial,suffering,anatomy,astrology,privation,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,the hand that this chargd soule could free.,anatomy,suffering,religion,social relations,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,Come on you slaues and make this earth diuine.,social status,nature,religion,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"this crimson fauor for thy sake Ile weare vpon my forehead maskt with bloud,",colors,appearance,devotion,clothes,anatomy,theatre,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Till all the moistures in the Tarquins [rulers] veines Be spilt vpon the earth,anatomy,politics,consumption,nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male," and leaue thy body As dry as the parcht sommer, burnt and scorcht with the canicular starres.",privation,anatomy,nature,fire,astrology,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,the pride of Rome lies sunke and fallen.,character traits & nature,politics,nautical,death,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,his mounting prid's sunke in the peoples hate.,physical activities,character traits & nature,nautical,politics,emotions,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"till this pile of flesh be all one wound,",quantities,anatomy,injuries,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,Her constant hand ript vp her innocent brest,character traits & nature,anatomy,violence,judiciary,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"The poorest snakie souldier well may claime As much renowne in royall Sextus [usurper] death, As Brutus [lord],",animals,military,recognition,politics,death,social status,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,Rob not your selues of Honor in my death.,economics,recognition,death,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"mightiest spirits of Greece and Troy Tugde for the masterie, Hector and Achilles, Had puissant Hector by Achilles hand, Dide in a single monomachie Achilles, Had been the worthie, ",social relations,historical,politics,violence,anatomy,recognition,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"but being slaine by odds, The poorest Mirmidon had as much honor As saint Achilles in the Troians death.",violence,quantities,historical,recognition,religion,death,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,this chale?ge breath'd so freely:,games & sports,breathing,social relations,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"The head of all these garboyles,",anatomy,social unrest,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,the chife actor Of that blacke sinne which we chastise by armes.,theatre,colors,religion,ethics,weapons,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"spill the chasest bloud that euer ran, In any matrons vaines,",violence,character traits & nature,anatomy,time,women,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"lesse then his renowne, Priseth his bloud, or Romes imperiall crowne",quantities,recognition,economics,anatomy,politics,,
