(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Strike him through his guilt and treachery,Strike him through his guilt and treachery,1 0 0 0 1 0 1,violence,judiciary,politics,,,,
let him see the horrors of his perjured soul.,let him see the horrors of his perjured soul.,0 0 1 0 1 0 0 1 1,sensations,emotions,judiciary,religion,,,
he in penitent sighs his soul commends,he in penitent sighs his soul commends,0 0 1 1 0 1 1,feelings,sounds,religion,recognition,,,
"What’s riches to thy honour? That rare treasure Which worlds redeem not, yet ’tis lost at pleasure.","What’s riches to thy honour? That rare treasure Which worlds redeem not, yet ’tis lost at pleasure.",0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1,economics,recognition,nature,privation,sexuality,,
"Will misery yet a longer life afford, ","Will misery yet a longer life afford, ",0 1 0 0 1 1 1,suffering,time,life,economics,,,
"a queen so poor, not worth her word?","a queen so poor, not worth her word?",0 1 0 1 0 1 0 1,politics,economics,language,,,,
my word was death.,my word was death.,0 1 0 1,language,death,,,,,
"ne’er past grief, till he be past his breath.","ne’er past grief, till he be past his breath.",1 1 1 0 0 0 1 0 1,time,spatial,emotions,breathing,,,
may the earth swallow me.,may the earth swallow me.,0 0 1 1 0,nature,food,,,,,
I’ll have thee merry. As your son and heir at his father’s funeral.,I’ll have thee merry. As your son and heir at his father’s funeral.,0 0 0 1 0 0 1 0 1 0 0 1 1,emotions,familial,politics,death,,,
"For ’tis not watch nor ward keeps woman chaste, If honour’s watch in her mind be not placed.","For ’tis not watch nor ward keeps woman chaste, If honour’s watch in her mind be not placed.",0 0 0 1 0 1 1 1 1 0 1 1 0 0 1 0 0 1,military,preservation,women,sexuality,character traits & nature,mental faculty & state,
Right [the utterance] oracle! ,Right [the utterance] oracle! ,1 1 1 1,language,religion,,,,,
"Hunger and lust will break through flesh and stones, ","Hunger and lust will break through flesh and stones, ",1 0 1 0 1 0 1 0 1,food,sexuality,violence,anatomy,materials,,
"[Hunger and lust] And like a whirlwind blows ope castle doors, ","[Hunger and lust] And like a whirlwind blows ope castle doors, ",1 0 1 0 0 0 1 1 1 1 1,food,sexuality,nature,violence,spatial,architecture,
"lock their wives from all men but their men? Make ’em their keepers, to prevent some greater. So oft it happens to the poor’s relief: Keepers eat venison, when their lords eat beef.","lock their wives from all men but their men? Make ’em their keepers, to prevent some greater. So oft it happens to the poor’s relief Keepers eat venison, when their lords eat beef.",1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 1 1,preservation,matrimony,men,social status,economics,sexuality,food
Honour of beauty! There man’s wishes rise. ,Honour of beauty! There man’s wishes rise. ,1 0 1 0 1 1 1,recognition,appearance,men,mental faculty & state,physical activities,,
Grace and perfection lighten from her eyes;,Grace and perfection lighten from her eyes,1 0 1 1 0 0 1,character traits & nature,light,anatomy,,,,
Amazement is shot through me.,Amazement is shot through me.,1 0 1 1 0,mental faculty & state,violence,spatial,,,,
I never knew the force of a desire Until this minute struck within my blood.,I never knew the force of a desire Until this minute struck within my blood.,0 1 1 0 1 0 0 1 0 0 1 1 1 0 1,time,mental faculty & state,sexuality,violence,spatial,anatomy,
I fear one look was destined to undo me.,I fear one look was destined to undo me.,0 1 1 1 0 1 0 1 0,emotions,quantities,sensations,mystical,destruction,,
"A courtier, And forget your first weapon? Go and salute","A courtier, And forget your first weapon? Go and salute",0 1 0 1 0 0 1 0 0 1,politics,mental faculty & state,weapons,greetings,,,
All hopes killed in their blossom.,All hopes killed in their blossom.,0 1 1 0 0 1,emotions,violence,nature,,,,
Duty binds me.,Duty binds me.,1 1 0,devotion,incarcetation,,,,,
"My mind walks yonder, ","My mind walks yonder, ",0 1 1 1,mental faculty & state,movement,spatial,,,,
but suspèct walks here.,but suspèct walks here.,0 1 1 1,mental faculy & state,movement,spatial,,,,
"The devil’s on that side and engrosses all, Smiles, favours, common courtesies","The devil’s on that side and engrosses all, Smiles, favours, common courtesies",0 1 0 0 1 0 1 0 1 1 0 1,religion,spatial,economics,facial expressions,social relations,etiquette,
How contempt ill fortune does pursue!,How contempt ill fortune does pursue!,0 1 0 1 0 1,derision,mystical,hunting,,,,
I get that flame Which nothing but cold death can quench or tame.—,I get that flame Which nothing but cold death can quench or tame.—,0 0 0 1 0 0 0 1 1 0 1 0 1,fire,temperature,death,consumption,education,,
Music of mind to the Queen.,Music of mind to the Queen.,1 0 1 0 0 1,music,mental faculty & state,politics,,,,
"heart, take heed: ","heart, take heed ",1 0 1,anatomy,danger,,,,,
when he [wise] loves; he’s then in folly’s power.,when he [wise] loves he’s then in folly’s power.,0 1 1 1 0 0 0 1 1,character traits & nature,emotions,mental faculty & state,social relations,,,
"The fears and dangers that most threaten me Live in the party that I must enjoy,","The fears and dangers that most threaten me Live in the party that I must enjoy,",0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1,emotions,danger,life,social relations,sexuality,,
"make my shame The politic engine to [beat down] her name, ","make my shame The politic engine to [beat down] her name, ",0 0 1 0 1 1 0 1 1 0 1,etiquette,deception,violence,language,,,
And from thence [the woman] force a way to the King’s ears.,And from thence [the woman] force a way to the King’s ears.,0 0 1 1 1 1 0 1 0 0 1 1,women,violence,spatial,politics,anatomy,,
"Like dial needles they [women] wave every way,","Like dial needles they [women] wave every way,",0 1 1 0 1 1 1 1,nautical,women,movement,spatial,,,
And [women] must be throughly taught to be kept right And point to none but to their lord’s delight.,And [women] must be throughly taught to be kept right And point to none but to their lord’s delight.,0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1,women,education,preservation,spatial,matrimony,sexuality,
"Your nights are music, ","Your nights are music, ",0 1 0 1,darkness,music,,,,,
your words are charms.,your words are charms.,0 1 0 1,language,mystical,,,,,
"Kiss me again, fair Thetis [wife].","Kiss me again, fair Thetis [wife].",1 0 0 0 1 1,sexuality,myth,matrimony,,,,
"All's not straight in my lady. She hath certain crooked cogitations, if a man had the liberty to search ’em.","All's not straight in my lady. She hath certain crooked cogitations, if a man had the liberty to search ’em.",0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0,spatial,social status,mental faculy & state,men,social relations,discovering,
"my mettle, and what it yields to an ounce. ","my mettle, and what it yields to an ounce. ",0 1 0 0 0 1 0 0 1,character traits & nature,economics,weight,,,,
"that stand her smock-sentinels but would venture a joint to do her any pleasurable service,","that stand her smock sentinels but would venture a joint to do her any pleasurable service,",0 1 0 1 1 0 0 1 0 1 0 0 0 0 1 1,sexuality,clothes,military,danger,anatomy,,
"sparks fly not downward, No more this rèceived fancy","sparks fly not downward, No more this rèceived fancy",1 1 0 1 0 0 0 0 1,light,movement,spatial,emotions,,,
"There’s but a plank on which I run to hell, Yet were’t thrice narrower I should venture on.","There’s but a plank on which I run to hell, Yet were’t thrice narrower I should venture on.",0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 0,architecture,movement,religion,quantities,spatial,danger,
hurt your oath.,hurt your oath.,1 0 1,violence,language,,,,,
I may look for my brains in my boots,I may look for my brains in my boots,0 0 1 1 0 1 0 0 1,discovering,anatomy,clothes,,,,
"A stranger? There’s a hundred deaths i’th’ very name, ","A stranger? There’s a hundred deaths i’th’ very name, ",0 1 0 0 1 1 0 0 1,social relations,quantities,death,language,,,
Love forgets all things but its proper objects [wooed].,Love forgets all things but its proper objects [wooed].,1 1 0 0 0 0 1 1 1,emotions,mental faculty & state,etiquette,courting,,,
"spidercatching, smock-wrapped gentleman?","spidercatching, smock wrapped gentleman?",1 1 1 1,animals,hunting,clothes,women,social status,,
for not enjoying him I die.,for not enjoying him I die.,0 0 1 0 0 1,sexuality,death,,,,,
"Then, since in my desire such horrors move, I’ll die no other than the death of love.","Then, since in my desire such horrors move, I’ll die no other than the death of love.",0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1,emotions,movement,death,,,,
"like a gentleman, every inch of him, and will perform the office of a gentleman:","like a gentleman, every inch of him, and will perform the office of a gentleman",0 0 1 0 1 0 0 0 0 1 0 1 0 0 1,social status,size,sexuality,labor,,,
"As now with gold, with honours we’ll requite.","As now with gold, with honours we’ll requite.",0 0 0 1 0 1 0 1,economics,social status,,,,,
"There’s no faculty, say I, like a pander, ","There’s no faculty, say I, like a pander, ",0 0 1 0 0 0 0 1,eduction,sexuality,,,,,
I am one step higher; This office makes a gentleman a squire. ,I am one step higher This office makes a gentleman a squire. ,0 0 0 1 1 0 1 0 0 1 0 1,spatial,labor,social status,sexuality,,,
"are the pits digged? Ay, and as deep as an usurer’s conscience,","are the pits digged? Ay, and as deep as an usurer’s conscience,",0 0 1 1 0 0 0 1 0 0 1 1,hunting,spatial,economics,ethics,,,
[the usurer]’twill devour a widow and three orphans at a breakfast,[the usurer]’twill devour a widow and three orphans at a breakfast,1 1 1 0 1 0 1 1 0 0 1,economics,food,quantities,familial,,,
all those whoreson muttonmongers the wolves,all those whoreson muttonmongers the wolves,0 0 1 1 0 1,sexuality,economics,food,animals,,,
"They [the wolves] should be he-wolves by their loving mutton, ","They [the wolves] should be he wolves by their loving mutton, ",0 0 1 0 0 1 1 0 0 1 1,animals,men,emotions,food,,,
"But by their greediness they should be she-wolves,","But by their greediness they should be she wolves,",0 0 0 1 0 0 0 1 1,economics,women,animals,,,,
For the belly of a she-wolf Is never satisfied till it be dammed up.,For the belly of a she wolf Is never satisfied till it be dammed up.,0 0 1 0 0 1 1 0 1 1 0 0 0 1 1,anatomy,women,animals,time,sexuality,hindrance,
"if all the earth were parchment, the sea ink, every stick a pen, and every knave a scrivener, they were not all able to write down the knaveries of she-wolves.","if all the earth were parchment, the sea ink, every stick a pen, and every knave a scrivener, they were not all able to write down the knaveries of she wolves.",0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1,nature,materials,language,social status,ethics,women,animals
just as many sorts [of wolves] as there be knaves in the cards.,just as many sorts [of wolves] as there be knaves in the cards.,0 0 1 0 0 1 0 0 0 1 0 0 1,quantities,animals,social status,games & sports,,,
"there are your court-wolves, and those be foul eaters and clean drinkers","there are your court wolves, and those be foul eaters and clean drinkers",0 0 0 1 1 0 0 0 1 1 0 1 1,politics,animals,ethics,food,cleaning,,
The next are your country-wolves: nothing chokes them but plenty. ,The next are your country wolves nothing chokes them but plenty. ,0 0 0 0 1 1 1 1 0 0 1,geography,animals,privation,violence,economics,,
"They [country-wolves] sing like sirens when corn goes out [expoted] by shipfulls, ","They [country wolves] sing like sirens when corn goes out [expoted] by shipfulls, ",0 1 1 1 0 1 0 1 1 1 1 0 1,geography,animals,music,myth,food,economics,nautical
and [country-wolves] dance after no tune but after ‘an angel a bushel’.,and [country wolves] dance after no tune but after ‘an angel a bushel’.,0 1 1 1 0 0 1 0 0 0 1 0 1,geography,animals,joviality,music,economics,weight,
The halter take such corn-cutters!,The halter take such corn cutters!,0 1 0 0 1 1,violence,agriculture,medicine,,,,
"you shall have Long Lane full of them [city-wolves]. They’ll feed upon any whore, carrion, thief, or anything.","you shall have Long Lane full of them [city wolves]. They’ll feed upon any whore, carrion, thief, or anything.",0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 1 1 0 0,urban,animals,food,sexuality,economics,,
"Maws? Why, man, fiddlers have no better guts [than city-wolves]","Maws? Why, man, fiddlers have no better guts [than city wolves]",1 0 0 1 0 0 0 1 1 1 1,anatomy,music,urban,animals,,,
"[city-wolves] eat up a lord at three bites. Three bonds, you mean.","[city wolves] eat up a lord at three bites. Three bonds, you mean.",1 1 1 0 0 1 0 1 1 1 1 0 0,urban,animals,food,social status,quantities,economics,
"a young gentleman is swallowed whole, like a gudgeon [by the city-wolves]","a young gentleman is swallowed whole, like a gudgeon [by the city wolves]",0 1 1 0 1 0 0 0 1 0 0 1 1,life's cycle,social status,food,animals,urban,,
"If the throat of his [city-wolf] conscience be sound, he’ll gulp down anything. ","If the throat of his [city wolf] conscience be sound, he’ll gulp down anything. ",0 0 1 0 0 1 1 1 0 0 0 1 1 0,anatomy,urban,animals,ethics,food,,
Five of your silken gallants are swallowed easier than a damask prune—,Five of your silken gallants are swallowed easier than a damask prune—,1 0 0 1 1 0 1 0 0 0 1 1,quantities,clothes,social status,food,,,
"for our city-wolves do so roll my young prodigal first in wax (which is soft), till he look like a gilded pill, wrap him up in satin (which is sleek), that he goes down without chewing, ","for our city wolves do so roll my young prodigal first in wax (which is soft), till he look like a gilded pill, wrap him up in satin (which is sleek), that he goes down without chewing, ",0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 1,urban,animals,economics,material,medicine,clothes,food
"sea-wolf, a horrible ravener too: he has a belly as big as a ship, ","sea wolf, a horrible ravener too he has a belly as big as a ship, ",1 1 0 0 1 0 0 0 0 1 0 1 0 0 1,nautical,animals,food,anatomy,spatial,size,
and [sea-wolf] devours as much silk at a gulp as would serve forty dozen tailors against a Christmas Day,and [sea wolf] devours as much silk at a gulp as would serve forty dozen tailors against a Christmas Day,0 1 1 1 0 0 1 0 0 1 0 0 1 1 1 1 0 0 1 1,nautical,animals,food,clothes,social relations,quantities,religion
"Foul monster-monger, who must live by that Which is thy own destruction","Foul monster monger, who must live by that Which is thy own destruction",1 1 1 0 0 1 0 0 0 0 0 0 1,ethics,deformities,economics,destruction,,,
why should men Be nature’s bond-slaves?,why should men Be nature’s bond slaves?,0 0 1 0 1 1 1,humanity,nature,judiciary,social status,,,
Every creature else Comes freely to the table of the earth;,Every creature else Comes freely to the table of the earth,0 1 0 0 1 0 0 1 0 0 1,animals,social relations,food,nature,,,
"What spiteful winds breathe here, ","What spiteful winds breathe here, ",0 1 1 1 0,feelings,nature,breatthing,,,,
that not a tree Spreads forth a friendly arm?,that not a tree Spreads forth a friendly arm?,0 0 0 1 1 1 0 1 1,nature,assistance,anatomy,character traits & nature,,,
The earth that bears you Like a proud mother scorns to give you food.,The earth that bears you Like a proud mother scorns to give you food.,0 1 0 1 0 0 0 1 1 1 0 0 0 1,nature,reproduction,character traits & nature,familial,derision,food,
"I now defy thee, starveling hunger.","I now defy thee, starveling hunger.",0 0 1 0 1 1,derision,food,,,,,
"Blessed tree, four lives grow in thy fruit. ","Blessed tree, four lives grow in thy fruit. ",1 1 1 1 1 0 0 1,religion,nature,quantities,life,food,,
Some angel lay a list’ning ear To draw my cry up!,Some angel lay a list’ning ear To draw my cry up!,0 1 0 0 1 1 0 1 0 1 1,religion,sensations,anatomy,assistance,sounds,,
"Mock not a man in woe: in a green wound Pour balsam, and not physic.","Mock not a man in woe in a green wound Pour balsam, and not physic.",1 0 0 0 0 1 0 0 1 1 1 1 0 0 1,derision,emotions,colors,injuries,medicine,,
[knows] for a wolfish rascal that would have worried his own country.,[knows] for a wolfish rascal that would have worried his own country.,1 0 0 1 1 0 0 0 1 0 0 1,mental faculty & state,animals,social status,feelings,politics,,
The devil [traitor] in the vault! ,The devil [traitor] in the vault! ,0 1 1 0 0 1,religion,politics,hunting,,,,
The devil he [rival] is!,The devil he [rival] is!,0 1 1 1 0,religion,social relations,,,,,
You’ll make a hot suitor of him anon.,You’ll make a hot suitor of him anon.,0 0 0 1 1 0 0 0,temperature,courting,,,,,
He may be hot in th’end [hell]; ,He may be hot in th’end [hell] ,0 0 0 1 0 1 1,temperature,death,religion,,,,
a kiss runs through his heart: I’ll make a thrust at him upon your lip.,a kiss runs through his heart I’ll make a thrust at him upon your lip.,0 1 1 1 0 1 0 0 0 1 0 0 0 0 1,sexuality,violence,anatomy,,,,
they count how the day goes by kissing;,they count how the day goes by kissing,0 1 0 0 1 0 0 1,time,sexuality,,,,,
"I’ve hit him in the gall; instead of blood, He sheds distractions, which are worse than wounds.","I’ve hit him in the gall instead of blood, He sheds distractions, which are worse than wounds.",0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1,violence,anatomy,injuries,mental faculty & state,,,
They’re [slaves] weak and loose and like a rotten wall; Leaning on them may hazard my own fall.,They’re [slaves] weak and loose and like a rotten wall Leaning on them may hazard my own fall.,1 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1,social status,physical attributes,consumption,architecture,assistance,danger,destruction
cut off long journeys And tedious ways that run my hopes past breath:,cut off long journeys And tedious ways that run my hopes past breath,1 1 1 1 0 1 1 0 1 0 1 0 1,violence,spatial,geography,consumption,physical activities,emotions,breathing
I’ll take the plain roadway and hunt his death. ,I’ll take the plain roadway and hunt his death. ,0 0 0 0 1 0 1 0 1,spatial,hunting,death,,,,
"When his frown begets earthquakes, ","When his frown begets earthquakes, ",0 0 1 1 1,facial expressions,reproduction,nature,,,,
I challenge all disguises except drinking To hide me better; ,I challenge all disguises except drinking To hide me better ,0 1 0 1 0 1 0 1 0 0,games & sport,theatre,food,concealment,,,
for that [drinking] indeed will thrust a white gentleman into a suit of mud.,for that [drinking] indeed will thrust a white gentleman into a suit of mud.,0 1 1 0 0 1 0 1 1 0 0 1 0 1,food,violence,colors,social status,clothes,cleaning,
"a beggar, as puritanical as I appear. ","a beggar, as puritanical as I appear. ",0 1 0 1 0 0 1,economics,religion,apperance,,,,
Else does there live no honesty but in lawyers.,Else does there live no honesty but in lawyers.,0 0 0 1 1 1 0 0 1,life,character traits & nature,judiciary,,,,
Enjoy the sweetest treasure in a woman. Always excepting but the tyrant’s gem.,Enjoy the sweetest treasure in a woman. Always excepting but the tyrant’s gem.,1 0 0 1 0 0 1 0 1 0 0 1 1,sexuality,economics,women,privation,politics,,
[treacheries] Inhuman monster!,[treacheries] Inhuman monster!,1 1 1,politics,humanity,deformities,,,,
hearts that may be pierced with misery’s groans Sent from a fainting spirit,hearts that may be pierced with misery’s groans Sent from a fainting spirit,1 0 0 0 1 0 1 1 0 0 0 1 1,anatomy,violence,suffering,sounds,consumption,religion,
prisoner to darkness!,prisoner to darkness!,1 1 1,incarceration,darkness,,,,,
"by night outstripped,","by night outstripped,",0 1 1,darkness,movement,,,,,
There’s weight within keeps down my soul and me.,There’s weight within keeps down my soul and me.,0 1 1 1 1 0 1 0 0,weight,spatial,preservation,religion,,,
One full strength more Makes our pains happy;,One full strength more Makes our pains happy,1 0 1 1 0 0 1 1,quantities,physical attributes,suffering,emotions,,,
O that astonishment had left me dead!,O that astonishment had left me dead!,0 0 1 0 1 0 1,mental faculty & state,privation,death,,,,
"Shame, sitting on my brow, weighs down my head.","Shame, sitting on my brow, weighs down my head.",1 1 0 0 1 1 1 0 1,emotions,physical activities,anatomy,weight,spatial,,
Even thus the guilt of my abhorrèd sin Flashed in my face when I beheld the Queen.,Even thus the guilt of my abhorrèd sin Flashed in my face when I beheld the Queen.,0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1,judiciary,emotions,religion,nature,anatomy,sensations,politics
the arms of death,the arms of death,0 1 0 1,anatomy,death,,,,,
the same hour Had been his grave that gives his life new power.,the same hour Had been his grave that gives his life new power.,0 0 1 0 0 0 1 0 0 0 1 1 1,time,death,life,physical attributes,,,
There’s not a hair to choose betwixt me and a pander,There’s not a hair to choose betwixt me and a pander,0 0 0 1 0 1 0 0 0 0 1,anatomy,mental faculty & state,sexuality,,,,
I could e’en gnaw feathers now to think of his downy felicity. ,I could e’en gnaw feathers now to think of his downy felicity. ,0 0 0 1 1 0 0 0 0 0 1 1,food,animals,sleeping,emotions,,,
"a dairy wench, the very cream of my fortunes— ","a dairy wench, the very cream of my fortunes— ",0 1 1 0 0 1 0 0 1,food,women,social status,,,,
"that he should bathe in nectar [food],","that he should bathe in nectar [food],",0 0 0 1 0 1 1,cleaning,food,religion,,,,
"and I most unfortunate in [bath] buttermilk,","and I most unfortunate in [bath] buttermilk,",0 0 0 1 0 1 1,suffering,cleaning,food,,,,
"have I any power in thee? Do I move there, or any part of me Flow in thy blood?","have I any power in thee? Do I move there, or any part of me Flow in thy blood?",0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1,social relations,spatial,movement,anatomy,,,
"Touch me then, […] And try my mettle [metal].","Touch me then, […] And try my mettle [metal].",1 0 0 0 0 1 0 1 1,sensations,economics,materials,character traits & nature,,,
that fellow's my disease,that fellow's my disease,0 1 0 1,social relations,medicine,,,,,
He’s [enemy] like a prison chain shook in my ears.,He’s [enemy] like a prison chain shook in my ears.,1 1 0 0 1 1 1 0 0 1,social relations,incarcetation,sounds,anatomy,,,
My honours and my dignities are dreams,My honours and my dignities are dreams,0 1 0 0 1 0 1,social status,recognition,mental faculty & state,,,,
"I shall, like many a bad lawyer, run my conscience upon the greatest fee:","I shall, like many a bad lawyer, run my conscience upon the greatest fee",0 0 0 0 0 1 1 0 0 1 0 0 0 1,judiciary,ethics,economics,,,,
He’s [counselor is] the King’s bosom:,He’s [counselor is] the King’s bosom,1 1 0 0 1 1,politics,anatomy,,,,,
he [counselor] blows his thoughts into him [the king]. ,he [counselor] blows his thoughts into him [the king]. ,0 1 1 0 1 1 1 1 1,politics,breathing,mental faculty & state,spatial,,,
I had rather be torn with whirlwinds than fall into any of their [king and mazeres] furies.,I had rather be torn with whirlwinds than fall into any of their [king and mazeres] furies.,0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 1 1,violence,nature,physical activities,politics,emotions,,
"play the knave, lay open this venery, betray him","play the knave, lay open this venery, betray him",1 0 1 1 1 0 1 1 0,theatre,social status,discovering,sexuality,social relations,,
Play honours to thy hand.,Play honours to thy hand.,1 1 0 0 1,games & sport,recognition,anatomy,,,,
and here’s blood apt enough to believe him.,and here’s blood apt enough to believe him.,0 0 1 1 0 0 1 0,anatomy,character traits & nature,mental faculty & state,,,,
Ay but you’ll play the better jumper [sex] of the two; I shall not jump so near as you by a handful.,Ay but you’ll play the better jumper [sex] of the two I shall not jump so near as you by a handful.,0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1,games & sport,physical activities,sexuality,spatial,,,
folly is blind.,folly is blind.,1 0 1,mental faculty & state,deformities,,,,,
"he loveth none With a true heart, that affects more than one.","he loveth none With a true heart, that affects more than one.",0 1 1 0 0 0 1 0 1 1 0 1,emotions,privation,anatomy,sexuality,quantities,,
"the better sports taste best i’th’ night,","the better sports taste best i’th’ night,",0 0 1 1 0 0 1,games & sports,food,darkness,,,,
"your sportive gallants’ prize: Before they’ll lose their sport [sex], they’ll lose their eyes.","your sportive gallants’ prize Before they’ll lose their sport [sex], they’ll lose their eyes.",0 1 1 1 0 0 1 0 1 1 0 1 0 1,games & sport,social status,economics,sexuality,anatomy,,
O my fear-fighting blood! ,O my fear fighting blood! ,0 0 1 1 1,emotions,violence,anatomy,,,,
For we are bound in duty to your bounty.,For we are bound in duty to your bounty.,0 0 0 1 0 1 0 0 1,incarceration,devotion,character traits & nature,,,,
I pour my life into your breasts; ,I pour my life into your breasts ,0 1 0 1 1 0 1,food,life,spatial,anatomy,,,
There [breasts] my doom or safety rests.,There [breasts] my doom or safety rests.,1 1 0 1 0 1 0,anatomy,destruction,danger,,,,
your hearts but just.,your hearts but just.,0 1 0 1,anatomy,character traits & nature,,,,,
Like jewels all your vows I’ll wear.,Like jewels all your vows I’ll wear.,0 1 0 0 1 0 1,economics,language,clothes,,,,
from our head to feet he’s so officious.,from our head to feet he’s so officious.,0 0 1 0 1 0 0 1,anatomy,devotion,,,,,
No clock so true as love that strikes in fear. ,No clock so true as love that strikes in fear. ,0 1 0 1 0 1 0 1 0 1,time,ethics,emotions,violece,,,
How far lack I yet of my blind pilgrimage?,How far lack I yet of my blind pilgrimage?,0 1 1 0 0 0 0 1 1,spatial,privation,deformities,religion,,,
I walk in a vault all underground.,I walk in a vault all underground.,0 1 0 0 1 0 1,movement,nature,spatial,,,,
And now your long lost eyes again are found.,And now your long lost eyes again are found.,0 0 0 1 1 1 0 0 1,time,privation,anatomy,discovering,,,
"Though it be night, ’tis morning to that night Which brought [accompanied] me hither.","Though it be night, ’tis morning to that night Which brought [accompanied] me hither.",0 0 0 1 0 1 0 0 1 0 1 1 0 1,darkness,light,social relations,spatial,,,
these dumb tokens witness.,these dumb tokens witness.,0 1 1 1,deformities,domestic,language,,,,
"Lecher, now beware [treason]. Securely sit and fearless quaff and eat: You’ll find sour sauce still, after your sweet meat.","Lecher, now beware [treason]. Securely sit and fearless quaff and eat You’ll find sour sauce still, after your sweet meat.",1 0 1 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 1 1,sexuality,danger,politics,emotions,food,,
They [women] never do their easy sex more wrong Than when they [women] venture fame upon man’s tongue.,They [women] never do their easy sex more wrong Than when they [women] venture fame upon man’s tongue.,1 1 1 0 0 0 1 0 1 0 0 1 1 1 1 0 1 1,women,time,etiquette,danger,recognition,men,anatomy
pleasure’s feast.,pleasure’s feast.,1 1,sexuality,food,,,,,
to woman The darkest path love treads is clear,to woman The darkest path love treads is clear,0 1 0 1 1 1 1 0 1,women,darkness,spatial,emotions,movement,cleaning,
"he plays The devil in a visor,","he plays The devil in a visor,",0 1 0 1 0 0 1,theatre,religion,,,,,
"great men kill As flatterers stab, who laugh when they mean ill.","great men kill As flatterers stab, who laugh when they mean ill.",1 1 1 0 1 1 0 1 0 0 0 1,social status,violence,recognition,etiquette,ethics,,
My vengeance speaks me happy,My vengeance speaks me happy,0 1 1 0 1,violence,language,emotions,,,,
"doth commend This [the wine] to your heart,","doth commend This [the wine] to your heart,",0 1 0 0 1 0 0 1,recognition,food,anatomy,,,,
my abusèd wrath Pursues thy ruin in this dangerous path.,my abusèd wrath Pursues thy ruin in this dangerous path.,0 1 1 1 0 1 0 0 1 1,deception,emotions,hunting,destruction,danger,spatial,
see her mind.,see her mind.,1 0 1,sensations,mental faculty & state,,,,,
His thoughts are sweeter than the very meats before him.,His thoughts are sweeter than the very meats before him.,0 1 0 1 0 0 0 1 0 0,mental faculty & state,food,,,,,
"The wind and tide serve, […] you have lighted Upon a sea of pleasure. Here’s your sail, sir, And your top streamer: a fair-wrought shirt and nightcap.","The wind and tide serve, […] you have lighted Upon a sea of pleasure. Here’s your sail, sir, And your top streamer a fair wrought shirt and nightcap.",0 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1,nature,social relations,movement,sexuality,nautical,clothes,
voyage of this [sexual encounter].,voyage of this [sexual encounter].,1 0 1 1 1,geography,sexuality,,,,,
No clouds eclipse her bounty; she shines clear.,No clouds eclipse her bounty she shines clear.,0 1 1 0 1 0 1 1,nature,concealment,character traits & nature,light,,,
This night would make one blush thorough this visor.,This night would make one blush thorough this visor.,0 1 0 0 0 1 0 0 1,darkness,facial expressions,theatre,,,,
"Like lightning in a tempest her lust shows, Or drinking drunk in thunder,","Like lightning in a tempest her lust shows, Or drinking drunk in thunder,",0 1 0 0 1 0 1 1 0 1 1 0 1,nature,sexuality,appearance,food,,,
burning fury,burning fury,1 1,fire,emotions,,,,,
seal [the tyrant's] his vengeance on his reeking breast.,seal [the tyrant's] his vengeance on his reeking breast.,1 1 1 0 1 0 0 0 1,heraldry,politics,violence,anatomy,,,
The next [vile] shall change him into fire and air. ,The next [vile] shall change him into fire and air. ,0 1 1 0 1 0 0 1 0 1,ethics,transformation,fire,nature,,,
when mine eyes Received their liberty I was ne’er the nearer [to knowing].,when mine eyes Received their liberty I was ne’er the nearer [to knowing].,0 0 1 0 0 1 0 0 0 0 1 1 1,anatomy,social relations,time,spatial,mental faculty & state,,
a riper time Shall bring him forth.,a riper time Shall bring him forth.,0 1 1 0 1 0 1,agriculture,time,discovering,,,,
dim her own lustre to give him grace?,dim her own lustre to give him grace?,1 0 0 1 0 0 0 1,darkness,light,social relations,,,,
Heart of ill fortune!,Heart of ill fortune!,1 0 0 1,anatomy,mystical,,,,,
